method,system,boundary,state,energy,error
DMET,2x2,PBC,BCS,-0.63940207564,1e-5
DMET,4x2_pi,"(PBC,APBC)",stripe 4,-0.65047709921,1e-4
DMET,5x2,PBC,stripe 5,-0.6530524152045001,1e-4
DMET,6x2_pi,"(PBC,APBC)",stripe 6,-0.6526366196105,0.0002
DMET,8x2_pi,"(PBC,APBC)",stripe 8,-0.6513911796925,1e-4
DMRG,infx4_w4,"(PBC,open)",stripe 4,-0.641379,5.2e-5
DMRG,infx4_w5,"(PBC,open)",stripe 5,-0.64269,0.00019
DMRG,infx4_w6,"(PBC,open)",stripe 6,-0.642853,0.00021
DMRG,infx4_w8,"(PBC,open)",stripe 8,-0.641677,0.00023
DMRG,infx6_w4,"(PBC,open)",stripe 4,-0.6383,0.0026
DMRG,infx6_w5,"(PBC,open)",stripe 5,-0.64148,0.00059
DMRG,infx6_w6,"(PBC,open)",stripe 6,-0.6418,0.0013
DMRG,infx6_w8,"(PBC,open)",stripe 8,-0.6438,0.0019
AFQMC,10x8,TABC,stripe 5,-0.644564763407,0.000564442605582
AFQMC,12x8,TABC,stripe 6,-0.645245428407,0.000384585827257
AFQMC,14x8,TABC,stripe 7,-0.646141750805,0.000512056754068
AFQMC,16x8,TABC,stripe 8,-0.645769977427,0.000526219901371
AFQMC,18x8,TABC,stripe 9,-0.646207893013,0.000577146594747
AFQMC,20x8,TABC,stripe 10,-0.644974519342,0.000595650396017
