x y charge
1 1 0.972715
1 2 0.973320
1 3 0.973471
1 4 0.972752
2 1 0.919281
2 2 0.919271
2 3 0.918923
2 4 0.918800
3 1 0.870317
3 2 0.870148
3 3 0.868210
3 4 0.870297
4 1 0.842752
4 2 0.842704
4 3 0.841767
4 4 0.842229
5 1 0.834193
5 2 0.834346
5 3 0.834993
5 4 0.834883
6 1 0.840893
6 2 0.838897
6 3 0.838313
6 4 0.839193
7 1 0.853502
7 2 0.852657
7 3 0.852533
7 4 0.853778
8 1 0.865648
8 2 0.867360
8 3 0.867303
8 4 0.865444
9 1 0.866863
9 2 0.866428
9 3 0.865375
9 4 0.867391
10 1 0.853420
10 2 0.851890
10 3 0.852063
10 4 0.854121
11 1 0.839028
11 2 0.840007
11 3 0.839466
11 4 0.839428
12 1 0.835049
12 2 0.834201
12 3 0.835734
12 4 0.833965
13 1 0.843027
13 2 0.842778
13 3 0.843892
13 4 0.843305
14 1 0.872623
14 2 0.871589
14 3 0.870404
14 4 0.869954
15 1 0.921076
15 2 0.920005
15 3 0.921210
15 4 0.920959
16 1 0.973458
16 2 0.973021
16 3 0.973580
16 4 0.973795
