x y spin
1 1 -0.404040
1 2 0.405295
1 3 -0.403117
1 4 0.404049
2 1 0.268942
2 2 -0.272904
2 3 0.269898
2 4 -0.271936
3 1 -0.149648
3 2 0.148941
3 3 -0.150643
3 4 0.151103
4 1 0.057362
4 2 -0.055699
4 3 0.057930
4 4 -0.056791
5 1 0.005626
5 2 -0.001932
5 3 0.004531
5 4 -0.003942
6 1 -0.049083
6 2 0.048867
6 3 -0.047418
6 4 0.053931
7 1 0.094959
7 2 -0.096418
7 3 0.095648
7 4 -0.098484
8 1 -0.133857
8 2 0.131166
8 3 -0.132669
8 4 0.135727
9 1 0.131300
9 2 -0.132038
9 3 0.131905
9 4 -0.133432
10 1 -0.095832
10 2 0.095312
10 3 -0.096311
10 4 0.099597
11 1 0.047992
11 2 -0.053279
11 3 0.050741
11 4 -0.051849
12 1 -0.006781
12 2 0.006895
12 3 -0.004960
12 4 0.007383
13 1 -0.055658
13 2 0.055964
13 3 -0.058138
13 4 0.054884
14 1 0.154233
14 2 -0.151221
14 3 0.151579
14 4 -0.152278
15 1 -0.271906
15 2 0.272996
15 3 -0.272728
15 4 0.271229
16 1 0.404463
16 2 -0.403345
16 3 0.403220
16 4 -0.405328
