x y charge
1 1 0.974288
1 2 0.981502
1 3 0.983118
1 4 0.981796
2 1 0.952816
2 2 0.958782
2 3 0.949993
2 4 0.947662
3 1 0.905526
3 2 0.906644
3 3 0.910135
3 4 0.910525
4 1 0.866539
4 2 0.868672
4 3 0.867217
4 4 0.881227
5 1 0.850311
5 2 0.863066
5 3 0.853753
5 4 0.847984
6 1 0.851854
6 2 0.846207
6 3 0.834151
6 4 0.836900
7 1 0.855780
7 2 0.843299
7 3 0.860014
7 4 0.857570
8 1 0.867296
8 2 0.873979
8 3 0.874305
8 4 0.866219
9 1 0.888961
9 2 0.878926
9 3 0.889911
9 4 0.895439
10 1 0.900438
10 2 0.901364
10 3 0.900859
10 4 0.902103
11 1 0.891559
11 2 0.887697
11 3 0.894656
11 4 0.891876
12 1 0.862062
12 2 0.870258
12 3 0.858944
12 4 0.864518
13 1 0.840053
13 2 0.846142
13 3 0.843847
13 4 0.853115
14 1 0.845270
14 2 0.845641
14 3 0.855323
14 4 0.851910
15 1 0.848490
15 2 0.864275
15 3 0.862724
15 4 0.860784
16 1 0.874223
16 2 0.862278
16 3 0.877591
16 4 0.869448
17 1 0.895763
17 2 0.884686
17 3 0.900539
17 4 0.881577
18 1 0.885287
18 2 0.885655
18 3 0.894400
18 4 0.899128
19 1 0.877268
19 2 0.876837
19 3 0.878059
19 4 0.874368
20 1 0.853594
20 2 0.851397
20 3 0.855786
20 4 0.853706
21 1 0.848090
21 2 0.839283
21 3 0.852191
21 4 0.845247
22 1 0.849031
22 2 0.855624
22 3 0.840771
22 4 0.846832
23 1 0.852948
23 2 0.867933
23 3 0.854306
23 4 0.853306
24 1 0.856673
24 2 0.876663
24 3 0.870399
24 4 0.864896
25 1 0.876082
25 2 0.877650
25 3 0.883592
25 4 0.875320
26 1 0.862885
26 2 0.870711
26 3 0.874220
26 4 0.872939
27 1 0.844718
27 2 0.854375
27 3 0.841625
27 4 0.858222
28 1 0.849287
28 2 0.831700
28 3 0.837247
28 4 0.843661
29 1 0.852424
29 2 0.846744
29 3 0.860534
29 4 0.857142
30 1 0.852000
30 2 0.850773
30 3 0.848709
30 4 0.838119
31 1 0.883602
31 2 0.882676
31 3 0.880020
31 4 0.874243
32 1 0.882227
32 2 0.879336
32 3 0.876117
32 4 0.874942
33 1 0.852713
33 2 0.859563
33 3 0.871138
33 4 0.865574
34 1 0.857024
34 2 0.850557
34 3 0.851892
34 4 0.855797
35 1 0.842502
35 2 0.841785
35 3 0.839992
35 4 0.821642
36 1 0.838591
36 2 0.844945
36 3 0.840425
36 4 0.836029
37 1 0.849917
37 2 0.855535
37 3 0.856291
37 4 0.861020
38 1 0.893618
38 2 0.901878
38 3 0.897692
38 4 0.891597
39 1 0.944089
39 2 0.941384
39 3 0.943801
39 4 0.942620
40 1 0.983547
40 2 0.979281
40 3 0.979829
40 4 0.981829
