x y spin
1 1 0.395079
1 2 -0.406521
1 3 0.398047
1 4 -0.393624
2 1 -0.310578
2 2 0.333215
2 3 -0.338027
2 4 0.301952
3 1 0.226169
3 2 -0.241534
3 3 0.230533
3 4 -0.221141
4 1 -0.131287
4 2 0.126394
4 3 -0.103084
4 4 0.138641
5 1 0.048518
5 2 -0.052288
5 3 0.065122
5 4 -0.032835
6 1 0.004948
6 2 -0.017048
6 3 0.022582
6 4 -0.011252
7 1 -0.096743
7 2 0.055992
7 3 -0.066525
7 4 0.067123
8 1 0.138369
8 2 -0.128761
8 3 0.131820
8 4 -0.103749
9 1 -0.188278
9 2 0.187810
9 3 -0.184817
9 4 0.161449
10 1 0.175092
10 2 -0.195445
10 3 0.232844
10 4 -0.199604
11 1 -0.154132
11 2 0.154949
11 3 -0.140621
11 4 0.153270
12 1 0.082575
12 2 -0.073824
12 3 0.063166
12 4 -0.085509
13 1 -0.010498
13 2 0.020704
13 3 -0.001315
13 4 0.028352
14 1 -0.015503
14 2 0.003384
14 3 -0.023615
14 4 0.002811
15 1 0.048078
15 2 -0.059040
15 3 0.077585
15 4 -0.047833
16 1 -0.117995
16 2 0.130311
16 3 -0.148563
16 4 0.107184
17 1 0.162284
17 2 -0.158494
17 3 0.166899
17 4 -0.200768
18 1 -0.183428
18 2 0.169805
18 3 -0.185190
18 4 0.156276
19 1 0.161183
19 2 -0.126529
19 3 0.129379
19 4 -0.082248
20 1 -0.058104
20 2 0.092460
20 3 -0.068118
20 4 0.044703
21 1 -0.000351
21 2 0.013026
21 3 0.032559
21 4 -0.019409
22 1 0.022071
22 2 -0.043213
22 3 0.028064
22 4 -0.028135
23 1 -0.081621
23 2 0.076462
23 3 -0.087438
23 4 0.057751
24 1 0.100943
24 2 -0.090446
24 3 0.111691
24 4 -0.130830
25 1 -0.114962
25 2 0.137483
25 3 -0.143206
25 4 0.127724
26 1 0.152204
26 2 -0.143568
26 3 0.133159
26 4 -0.147047
27 1 -0.089301
27 2 0.072287
27 3 -0.072524
27 4 0.093979
28 1 0.023279
28 2 -0.019841
28 3 0.037210
28 4 -0.041599
29 1 0.035388
29 2 -0.017101
29 3 0.013255
29 4 -0.025687
30 1 -0.086500
30 2 0.093969
30 3 -0.075882
30 4 0.075059
31 1 0.116321
31 2 -0.130705
31 3 0.135551
31 4 -0.144084
32 1 -0.117564
32 2 0.138536
32 3 -0.165879
32 4 0.145037
33 1 0.155719
33 2 -0.116186
33 3 0.153776
33 4 -0.121505
34 1 -0.074255
34 2 0.061863
34 3 -0.116461
34 4 0.094261
35 1 0.037134
35 2 -0.040847
35 3 0.016454
35 4 -0.016495
36 1 -0.004786
36 2 -0.024685
36 3 0.022752
36 4 -0.039999
37 1 -0.097892
37 2 0.118739
37 3 -0.109174
37 4 0.115918
38 1 0.198319
38 2 -0.190099
38 3 0.209433
38 4 -0.191083
39 1 -0.316717
39 2 0.297251
39 3 -0.307032
39 4 0.295887
40 1 0.413668
40 2 -0.407279
40 3 0.394409
40 4 -0.399787
