x y charge
1 1 0.981765
1 2 0.982855
1 3 0.982441
1 4 0.988972
2 1 0.943813
2 2 0.953516
2 3 0.949110
2 4 0.960810
3 1 0.904119
3 2 0.924338
3 3 0.916653
3 4 0.912371
4 1 0.867923
4 2 0.870632
4 3 0.879789
4 4 0.873585
5 1 0.850130
5 2 0.858787
5 3 0.865434
5 4 0.856613
6 1 0.856251
6 2 0.841571
6 3 0.863827
6 4 0.865730
7 1 0.849383
7 2 0.853962
7 3 0.856762
7 4 0.849166
8 1 0.864904
8 2 0.857944
8 3 0.853188
8 4 0.859049
9 1 0.862357
9 2 0.860868
9 3 0.859154
9 4 0.860348
10 1 0.873580
10 2 0.860505
10 3 0.884222
10 4 0.865029
11 1 0.878557
11 2 0.877049
11 3 0.866549
11 4 0.873612
12 1 0.862388
12 2 0.860668
12 3 0.867085
12 4 0.853505
13 1 0.875350
13 2 0.874594
13 3 0.868550
13 4 0.857485
14 1 0.862419
14 2 0.875500
14 3 0.862074
14 4 0.884581
15 1 0.853825
15 2 0.858091
15 3 0.848363
15 4 0.867456
16 1 0.860858
16 2 0.860869
16 3 0.868679
16 4 0.861824
17 1 0.853856
17 2 0.860009
17 3 0.855807
17 4 0.852104
18 1 0.866346
18 2 0.853791
18 3 0.861204
18 4 0.852175
19 1 0.849276
19 2 0.861063
19 3 0.863369
19 4 0.848374
20 1 0.854309
20 2 0.867644
20 3 0.864929
20 4 0.864633
21 1 0.861651
21 2 0.862220
21 3 0.862490
21 4 0.865798
22 1 0.870092
22 2 0.866208
22 3 0.871108
22 4 0.878714
23 1 0.875959
23 2 0.877371
23 3 0.871061
23 4 0.859307
24 1 0.879031
24 2 0.873743
24 3 0.865121
24 4 0.880681
25 1 0.872174
25 2 0.875702
25 3 0.872787
25 4 0.879735
26 1 0.873265
26 2 0.867063
26 3 0.875981
26 4 0.864619
27 1 0.869300
27 2 0.872336
27 3 0.867455
27 4 0.860879
28 1 0.854743
28 2 0.858082
28 3 0.864713
28 4 0.859962
29 1 0.844478
29 2 0.855196
29 3 0.863922
29 4 0.852880
30 1 0.872974
30 2 0.858520
30 3 0.860135
30 4 0.867026
31 1 0.866435
31 2 0.856156
31 3 0.860666
31 4 0.868911
32 1 0.864851
32 2 0.858073
32 3 0.863456
32 4 0.858881
33 1 0.858407
33 2 0.865822
33 3 0.859169
33 4 0.863969
34 1 0.852595
34 2 0.867023
34 3 0.861502
34 4 0.859012
35 1 0.877295
35 2 0.866156
35 3 0.867051
35 4 0.863222
36 1 0.864801
36 2 0.868972
36 3 0.866332
36 4 0.864501
37 1 0.866987
37 2 0.868036
37 3 0.867948
37 4 0.868147
38 1 0.861345
38 2 0.872682
38 3 0.858251
38 4 0.865598
39 1 0.863617
39 2 0.877902
39 3 0.858078
39 4 0.878308
40 1 0.880846
40 2 0.871923
40 3 0.872799
40 4 0.876837
41 1 0.864391
41 2 0.875381
41 3 0.854431
41 4 0.868486
42 1 0.861346
42 2 0.842704
42 3 0.859443
42 4 0.848614
43 1 0.850497
43 2 0.846486
43 3 0.846116
43 4 0.844910
44 1 0.858348
44 2 0.853570
44 3 0.852569
44 4 0.850702
45 1 0.876961
45 2 0.872601
45 3 0.867205
45 4 0.885670
46 1 0.911838
46 2 0.923573
46 3 0.929905
46 4 0.919426
47 1 0.953378
47 2 0.967515
47 3 0.958576
47 4 0.965213
48 1 0.983789
48 2 0.986067
48 3 0.985355
48 4 0.987616
