x y spin
1 1 -0.408422
1 2 0.417832
1 3 -0.413845
1 4 0.411571
2 1 0.293856
2 2 -0.307657
2 3 0.314362
2 4 -0.327455
3 1 -0.223470
3 2 0.223617
3 3 -0.207774
3 4 0.241435
4 1 0.158230
4 2 -0.161368
4 3 0.168253
4 4 -0.102362
5 1 -0.048308
5 2 0.082718
5 3 -0.055264
5 4 0.080479
6 1 0.002491
6 2 -0.011127
6 3 0.025391
6 4 -0.042118
7 1 0.031934
7 2 -0.001665
7 3 -0.020652
7 4 -0.007403
8 1 -0.060937
8 2 0.040110
8 3 -0.038296
8 4 0.042607
9 1 0.063970
9 2 -0.059559
9 3 0.042016
9 4 -0.060365
10 1 -0.081239
10 2 0.094465
10 3 -0.089907
10 4 0.088693
11 1 0.108427
11 2 -0.092844
11 3 0.104384
11 4 -0.105247
12 1 -0.096224
12 2 0.105412
12 3 -0.099967
12 4 0.069937
13 1 0.090180
13 2 -0.094597
13 3 0.106142
13 4 -0.124967
14 1 -0.115276
14 2 0.092695
14 3 -0.079626
14 4 0.107627
15 1 0.067162
15 2 -0.055890
15 3 0.059730
15 4 -0.086044
16 1 -0.023361
16 2 0.049905
16 3 -0.049365
16 4 0.060295
17 1 0.006616
17 2 -0.020738
17 3 0.008486
17 4 -0.004416
18 1 0.021903
18 2 0.010785
18 3 -0.001485
18 4 -0.000715
19 1 -0.027378
19 2 -0.013116
19 3 -0.021497
19 4 -0.003218
20 1 0.064510
20 2 -0.036827
20 3 0.062262
20 4 -0.048622
21 1 -0.044821
21 2 0.076739
21 3 -0.065141
21 4 0.064391
22 1 0.088281
22 2 -0.082462
22 3 0.074565
22 4 -0.084282
23 1 -0.135312
23 2 0.103984
23 3 -0.084178
23 4 0.062462
24 1 0.133342
24 2 -0.124570
24 3 0.111845
24 4 -0.130082
25 1 -0.136799
25 2 0.110630
25 3 -0.115893
25 4 0.121500
26 1 0.099653
26 2 -0.116235
26 3 0.085570
26 4 -0.077122
27 1 -0.083427
27 2 0.051091
27 3 -0.081385
27 4 0.069622
28 1 0.022273
28 2 -0.043884
28 3 0.039699
28 4 -0.038881
29 1 -0.036166
29 2 -0.005866
29 3 0.011047
29 4 0.017345
30 1 0.002908
30 2 0.013007
30 3 0.000479
30 4 0.022402
31 1 0.006438
31 2 -0.014444
31 3 0.016773
31 4 -0.036359
32 1 -0.016845
32 2 0.035967
32 3 -0.033207
32 4 0.044925
33 1 0.047047
33 2 -0.033944
33 3 0.027172
33 4 -0.050144
34 1 -0.077350
34 2 0.066623
34 3 -0.039995
34 4 0.050353
35 1 0.068036
35 2 -0.075962
35 3 0.046639
35 4 -0.066881
36 1 -0.088451
36 2 0.105758
36 3 -0.080297
36 4 0.084291
37 1 0.080605
37 2 -0.118613
37 3 0.068742
37 4 -0.088385
38 1 -0.095371
38 2 0.118827
38 3 -0.106072
38 4 0.098163
39 1 0.101921
39 2 -0.120582
39 3 0.117461
39 4 -0.119002
40 1 -0.080882
40 2 0.069636
40 3 -0.083603
40 4 0.102409
41 1 0.048073
41 2 -0.077590
41 3 0.046481
41 4 -0.072470
42 1 -0.045451
42 2 0.027917
42 3 -0.002289
42 4 0.053939
43 1 -0.006374
43 2 0.002512
43 3 -0.005060
43 4 0.016031
44 1 0.066165
44 2 -0.028478
44 3 0.067543
44 4 -0.020364
45 1 -0.152524
45 2 0.135945
45 3 -0.127531
45 4 0.143246
46 1 0.242064
46 2 -0.250436
46 3 0.276518
46 4 -0.252009
47 1 -0.338325
47 2 0.325611
47 3 -0.339093
47 4 0.345754
48 1 0.413073
48 2 -0.406006
48 3 0.416339
48 4 -0.420815
