x1 y1 x2 y2 pair
1 1 2 1 -1.333703e-03
1 1 1 2 1.600506e-03
1 2 2 2 -1.326356e-03
2 1 3 1 -3.752084e-03
2 1 2 2 2.666504e-03
2 2 3 2 -2.406400e-03
3 1 4 1 -2.250021e-03
3 1 3 2 5.142391e-03
3 2 4 2 -3.184127e-03
4 1 5 1 -5.206564e-03
4 1 4 2 2.421684e-03
4 2 5 2 -1.920908e-03
5 1 6 1 -2.242956e-02
5 1 5 2 1.463053e-02
5 2 6 2 -3.357825e-02
6 1 7 1 -3.655554e-02
6 1 6 2 3.723542e-02
6 2 7 2 -3.493105e-02
7 1 8 1 -1.470697e-02
7 1 7 2 3.318180e-02
7 2 8 2 -1.552263e-02
8 1 9 1 -4.649961e-03
8 1 8 2 1.191895e-02
8 2 9 2 -4.806684e-03
9 1 9 2 4.071956e-03
