x y spin
1 1 -0.000002
1 2 0.000002
1 3 -0.000002
1 4 0.000002
2 1 0.000001
2 2 -0.000001
2 3 0.000001
2 4 -0.000001
3 1 -0.000002
3 2 0.000003
3 3 -0.000003
3 4 0.000003
4 1 0.000002
4 2 -0.000002
4 3 0.000002
4 4 -0.000002
5 1 -0.000001
5 2 0.000001
5 3 -0.000001
5 4 0.000001
6 1 -0.000001
6 2 0.000001
6 3 -0.000001
6 4 0.000001
7 1 0.000002
7 2 -0.000002
7 3 0.000002
7 4 -0.000002
8 1 -0.000003
8 2 0.000003
8 3 -0.000003
8 4 0.000003
9 1 0.000003
9 2 -0.000003
9 3 0.000003
9 4 -0.000003
10 1 -0.000002
10 2 0.000002
10 3 -0.000002
10 4 0.000002
11 1 0.000001
11 2 -0.000001
11 3 0.000001
11 4 -0.000001
12 1 0.000001
12 2 -0.000001
12 3 0.000001
12 4 -0.000001
13 1 -0.000002
13 2 0.000002
13 3 -0.000002
13 4 0.000002
14 1 0.000004
14 2 -0.000004
14 3 0.000004
14 4 -0.000004
15 1 -0.000002
15 2 0.000002
15 3 -0.000002
15 4 0.000002
16 1 0.000003
16 2 -0.000003
16 3 0.000003
16 4 -0.000003
