x y charge
1 1 0.955123
1 2 0.955301
1 3 0.955218
1 4 0.954902
1 5 0.954783
1 6 0.954879
2 1 0.907418
2 2 0.907313
2 3 0.907235
2 4 0.907087
2 5 0.907098
2 6 0.907171
3 1 0.855516
3 2 0.854760
3 3 0.854967
3 4 0.855793
3 5 0.856304
3 6 0.856111
4 1 0.824606
4 2 0.823800
4 3 0.824000
4 4 0.824845
4 5 0.825457
4 6 0.825417
5 1 0.822544
5 2 0.822246
5 3 0.821992
5 4 0.821803
5 5 0.821868
5 6 0.822367
6 1 0.838668
6 2 0.838932
6 3 0.838328
6 4 0.837325
6 5 0.836979
6 6 0.837791
7 1 0.877936
7 2 0.878157
7 3 0.877786
7 4 0.877172
7 5 0.876975
7 6 0.877462
8 1 0.920659
8 2 0.920608
8 3 0.920567
8 4 0.920600
8 5 0.920609
8 6 0.920689
9 1 0.920999
9 2 0.920932
9 3 0.920918
9 4 0.920874
9 5 0.920913
9 6 0.920976
10 1 0.878027
10 2 0.877515
10 3 0.877708
10 4 0.878349
10 5 0.878754
10 6 0.878547
11 1 0.837996
11 2 0.837130
11 3 0.837479
11 4 0.838540
11 5 0.839198
11 6 0.838946
12 1 0.822286
12 2 0.821759
12 3 0.821713
12 4 0.821951
12 5 0.822232
12 6 0.822516
13 1 0.825195
13 2 0.825222
13 3 0.824669
13 4 0.823906
13 5 0.823727
13 6 0.824473
14 1 0.855594
14 2 0.855785
14 3 0.855334
14 4 0.854588
14 5 0.854397
14 6 0.855090
15 1 0.906488
15 2 0.906418
15 3 0.906419
15 4 0.906576
15 5 0.906667
15 6 0.906782
16 1 0.954512
16 2 0.954423
16 3 0.954524
16 4 0.954819
16 5 0.954970
16 6 0.954788
