x y spin
1 1 0.217773
1 2 -0.218161
1 3 0.217907
1 4 -0.216988
1 5 0.216707
1 6 -0.217148
2 1 -0.197975
2 2 0.198074
2 3 -0.197942
2 4 0.197191
2 5 -0.197203
2 6 0.197577
3 1 0.121623
3 2 -0.120328
3 3 0.121219
3 4 -0.122997
3 5 0.124244
3 6 -0.123612
4 1 -0.056328
4 2 0.054304
4 3 -0.056124
4 4 0.059709
4 5 -0.061772
4 6 0.060420
5 1 -0.015576
5 2 0.017453
5 3 -0.015415
5 4 0.011452
5 5 -0.009216
5 6 0.011024
6 1 0.096579
6 2 -0.098040
6 3 0.096199
6 4 -0.092844
6 5 0.091073
6 6 -0.092866
7 1 -0.180768
7 2 0.181210
7 3 -0.180414
7 4 0.179272
7 5 -0.178649
7 6 0.179427
8 1 0.245968
8 2 -0.245787
8 3 0.245729
8 4 -0.245975
8 5 0.245955
8 6 -0.245982
9 1 -0.246466
9 2 0.246432
9 3 -0.246438
9 4 0.246186
9 5 -0.246240
9 6 0.246415
10 1 0.180537
10 2 -0.179672
10 3 0.180276
10 4 -0.181484
10 5 0.182349
10 6 -0.181926
11 1 -0.093722
11 2 0.091757
11 3 -0.093487
11 4 0.096943
11 5 -0.098925
11 6 0.097527
12 1 0.011600
12 2 -0.009704
12 3 0.011811
12 4 -0.015716
12 5 0.017824
12 6 -0.016083
13 1 0.059761
13 2 -0.061107
13 3 0.059253
13 4 -0.055899
13 5 0.054117
13 6 -0.055921
14 1 -0.122762
14 2 0.123375
14 3 -0.122241
14 4 0.120635
14 5 -0.119766
14 6 0.120897
15 1 0.196943
15 2 -0.196538
15 3 0.196517
15 4 -0.197267
15 5 0.197381
15 6 -0.197223
16 1 -0.216682
16 2 0.216221
16 3 -0.216449
16 4 0.217337
16 5 -0.218718
16 6 0.218328
