x y charge
1 1 0.978903
1 2 0.978912
1 3 0.978916
1 4 0.978893
1 5 0.978911
1 6 0.978915
2 1 0.925337
2 2 0.925298
2 3 0.925318
2 4 0.925271
2 5 0.925312
2 6 0.925296
3 1 0.861384
3 2 0.861036
3 3 0.861286
3 4 0.861807
3 5 0.861950
3 6 0.861624
4 1 0.823579
4 2 0.823095
4 3 0.823405
4 4 0.824062
4 5 0.824303
4 6 0.824060
5 1 0.815337
5 2 0.814933
5 3 0.814815
5 4 0.814904
5 5 0.815077
5 6 0.815423
6 1 0.825930
6 2 0.825716
6 3 0.825204
6 4 0.824705
6 5 0.824787
6 6 0.825564
7 1 0.863167
7 2 0.863063
7 3 0.862666
7 4 0.862228
7 5 0.862338
7 6 0.862963
8 1 0.908067
8 2 0.907962
8 3 0.907884
8 4 0.907887
8 5 0.907959
8 6 0.908107
9 1 0.908344
9 2 0.908211
9 3 0.908154
9 4 0.908148
9 5 0.908218
9 6 0.908314
10 1 0.862995
10 2 0.862585
10 3 0.862607
10 4 0.862975
10 5 0.863207
10 6 0.863213
11 1 0.825811
11 2 0.825241
11 3 0.825273
11 4 0.825676
11 5 0.825968
11 6 0.826010
12 1 0.815687
12 2 0.815305
12 3 0.815085
12 4 0.814981
12 5 0.815098
12 6 0.815480
13 1 0.824255
13 2 0.824243
13 3 0.823800
13 4 0.823195
13 5 0.823126
13 6 0.823779
14 1 0.861505
14 2 0.861640
14 3 0.861350
14 4 0.860884
14 5 0.860838
14 6 0.861320
15 1 0.925048
15 2 0.925066
15 3 0.925027
15 4 0.925078
15 5 0.925059
15 6 0.925092
16 1 0.978830
16 2 0.978841
16 3 0.978834
16 4 0.978854
16 5 0.978835
16 6 0.978814
