x y spin
1 1 0.408093
1 2 -0.408097
1 3 0.408129
1 4 -0.408144
1 5 0.408196
1 6 -0.408167
2 1 -0.292878
2 2 0.292898
2 3 -0.293002
2 4 0.292752
2 5 -0.292863
2 6 0.292923
3 1 0.177139
3 2 -0.176726
3 3 0.177542
3 4 -0.178348
3 5 0.178622
3 6 -0.177996
4 1 -0.071089
4 2 0.070611
4 3 -0.072470
4 4 0.074645
4 5 -0.075256
4 6 0.073612
5 1 -0.007093
5 2 0.007356
5 3 -0.005253
5 4 0.002790
5 5 -0.002170
5 6 0.004015
6 1 0.082967
6 2 -0.082959
6 3 0.081122
6 4 -0.079020
6 5 0.078692
6 6 -0.080547
7 1 -0.170799
7 2 0.170452
7 3 -0.169539
7 4 0.168812
7 5 -0.168899
7 6 0.170020
8 1 0.242530
8 2 -0.242222
8 3 0.242076
8 4 -0.242330
8 5 0.242459
8 6 -0.242585
9 1 -0.242991
9 2 0.242882
9 3 -0.242783
9 4 0.242525
9 5 -0.242640
9 6 0.242911
10 1 0.168741
10 2 -0.168229
10 3 0.168529
10 4 -0.169166
10 5 0.169684
10 6 -0.169877
11 1 -0.079559
11 2 0.078668
11 3 -0.079630
11 4 0.081448
11 5 -0.082448
11 6 0.081951
12 1 0.003543
12 2 -0.002697
12 3 0.003994
12 4 -0.006120
12 5 0.007177
12 6 -0.006187
13 1 0.073765
13 2 -0.074471
13 3 0.073193
13 4 -0.071350
13 5 0.070580
13 6 -0.071841
14 1 -0.177778
14 2 0.177946
14 3 -0.177315
14 4 0.176670
14 5 -0.176398
14 6 0.177179
15 1 0.292616
15 2 -0.292548
15 3 0.292428
15 4 -0.292684
15 5 0.292598
15 6 -0.292578
16 1 -0.408119
16 2 0.408158
16 3 -0.408114
16 4 0.408097
16 5 -0.408054
16 6 0.408042
