x y charge
1 1 0.935422
1 2 0.912306
1 3 0.872892
1 4 0.860277
1 5 0.879374
1 6 0.907865
1 7 0.927028
2 1 0.924426
2 2 0.895805
2 3 0.881288
2 4 0.851149
2 5 0.852087
2 6 0.901379
2 7 0.928319
3 1 0.916314
3 2 0.897224
3 3 0.848557
3 4 0.841087
3 5 0.868836
3 6 0.886805
3 7 0.913589
4 1 0.924897
4 2 0.890937
4 3 0.851634
4 4 0.823613
4 5 0.839136
4 6 0.896957
4 7 0.925417
5 1 0.917807
5 2 0.884617
5 3 0.842759
5 4 0.822205
5 5 0.830194
5 6 0.869925
5 7 0.914031
6 1 0.908043
6 2 0.877287
6 3 0.838174
6 4 0.818136
6 5 0.828263
6 6 0.863077
6 7 0.902069
7 1 0.906443
7 2 0.873033
7 3 0.834426
7 4 0.817021
7 5 0.828897
7 6 0.864471
7 7 0.901185
8 1 0.903262
8 2 0.871046
8 3 0.833124
8 4 0.817145
8 5 0.830024
8 6 0.865205
8 7 0.899994
9 1 0.902171
9 2 0.870152
9 3 0.833722
9 4 0.817801
9 5 0.831022
9 6 0.866783
9 7 0.900347
10 1 0.902497
10 2 0.869976
10 3 0.833831
10 4 0.818469
10 5 0.832163
10 6 0.868134
10 7 0.902044
11 1 0.899828
11 2 0.867781
11 3 0.833935
11 4 0.820640
11 5 0.834088
11 6 0.867962
11 7 0.900204
12 1 0.902589
12 2 0.866985
12 3 0.834188
12 4 0.821561
12 5 0.836260
12 6 0.872909
12 7 0.905775
13 1 0.912903
13 2 0.871584
13 3 0.834278
13 4 0.823880
13 5 0.843989
13 6 0.886514
13 7 0.915945
14 1 0.911014
14 2 0.890898
14 3 0.844589
14 4 0.836462
14 5 0.864214
14 6 0.882458
14 7 0.908622
15 1 0.915517
15 2 0.897769
15 3 0.903456
15 4 0.871730
15 5 0.863409
15 6 0.907592
15 7 0.929375
16 1 0.933394
16 2 0.912530
16 3 0.880981
16 4 0.874534
16 5 0.909882
16 6 0.931720
16 7 0.933128
