x y spin
1 1 -0.406373
1 2 0.406374
1 3 -0.406373
1 4 0.406374
2 1 0.277512
2 2 -0.277517
2 3 0.277510
2 4 -0.277515
3 1 -0.164295
3 2 0.164305
3 3 -0.164292
3 4 0.164299
4 1 0.068171
4 2 -0.068178
4 3 0.068162
4 4 -0.068167
5 1 -0.002684
5 2 0.002685
5 3 -0.002674
5 4 0.002674
6 1 -0.042066
6 2 0.042068
6 3 -0.042061
6 4 0.042064
7 1 0.088312
7 2 -0.088307
7 3 0.088278
7 4 -0.088276
8 1 -0.128190
8 2 0.128171
8 3 -0.128129
8 4 0.128116
9 1 0.139915
9 2 -0.139888
9 3 0.139845
9 4 -0.139825
10 1 -0.113621
10 2 0.113601
10 3 -0.113568
10 4 0.113551
11 1 0.066730
11 2 -0.066722
11 3 0.066703
11 4 -0.066694
12 1 -0.020584
12 2 0.020585
12 3 -0.020571
12 4 0.020571
13 1 -0.020500
13 2 0.020489
13 3 -0.020496
13 4 0.020488
14 1 0.066695
14 2 -0.066674
14 3 0.066657
14 4 -0.066639
15 1 -0.113618
15 2 0.113578
15 3 -0.113543
15 4 0.113508
16 1 0.139900
16 2 -0.139851
16 3 0.139807
16 4 -0.139766
17 1 -0.128157
17 2 0.128116
17 3 -0.128089
17 4 0.128052
18 1 0.088289
18 2 -0.088268
18 3 0.088265
18 4 -0.088245
19 1 -0.042316
19 2 0.042316
19 3 -0.042335
19 4 0.042336
20 1 -0.002683
20 2 0.002683
20 3 -0.002693
20 4 0.002691
21 1 0.068259
21 2 -0.068252
21 3 0.068276
21 4 -0.068265
22 1 -0.164468
22 2 0.164458
22 3 -0.164476
22 4 0.164463
23 1 0.277678
23 2 -0.277669
23 3 0.277678
23 4 -0.277668
24 1 -0.406407
24 2 0.406405
24 3 -0.406406
24 4 0.406404
