x y charge
1 1 0.897393
1 2 0.897397
1 3 0.897391
1 4 0.897395
2 1 0.897379
2 2 0.897386
2 3 0.897377
2 4 0.897382
3 1 0.888435
3 2 0.888440
3 3 0.888427
3 4 0.888435
4 1 0.874158
4 2 0.874174
4 3 0.874163
4 4 0.874177
5 1 0.853540
5 2 0.853574
5 3 0.853593
5 4 0.853628
6 1 0.862609
6 2 0.862664
6 3 0.862716
6 4 0.862781
7 1 0.862806
7 2 0.862880
7 3 0.862942
7 4 0.863023
8 1 0.863228
8 2 0.863248
8 3 0.863255
8 4 0.865160
9 1 0.858976
9 2 0.859005
9 3 0.859032
9 4 0.859077
10 1 0.851791
10 2 0.851854
10 3 0.851914
10 4 0.851996
11 1 0.855065
11 2 0.855125
11 3 0.855190
11 4 0.855271
12 1 0.868279
12 2 0.868353
12 3 0.868418
12 4 0.868497
13 1 0.891759
13 2 0.891875
13 3 0.891980
13 4 0.892089
14 1 0.903053
14 2 0.903219
14 3 0.903365
14 4 0.903514
15 1 0.895645
15 2 0.895813
15 3 0.895971
15 4 0.896127
16 1 0.882225
16 2 0.882351
16 3 0.882465
16 4 0.882595
17 1 0.882020
17 2 0.882131
17 3 0.882228
17 4 0.882349
18 1 0.895016
18 2 0.895161
18 3 0.895274
18 4 0.895407
19 1 0.901997
19 2 0.902149
19 3 0.902285
19 4 0.902426
20 1 0.890276
20 2 0.890389
20 3 0.890497
20 4 0.890613
21 1 0.866562
21 2 0.866613
21 3 0.866670
21 4 0.866738
22 1 0.853393
22 2 0.853417
22 3 0.853460
22 4 0.853515
23 1 0.850504
23 2 0.850515
23 3 0.850570
23 4 0.850619
24 1 0.858167
24 2 0.858157
24 3 0.858197
24 4 0.858225
25 1 0.864843
25 2 0.864797
25 3 0.864802
25 4 0.864784
26 1 0.866860
26 2 0.866792
26 3 0.866761
26 4 0.866713
27 1 0.866477
27 2 0.866423
27 3 0.866393
27 4 0.866355
28 1 0.855854
28 2 0.855831
28 3 0.855820
28 4 0.855802
29 1 0.874938
29 2 0.874931
29 3 0.874943
29 4 0.874934
30 1 0.888226
30 2 0.888219
30 3 0.888229
30 4 0.888226
31 1 0.897148
31 2 0.897144
31 3 0.897153
31 4 0.897149
32 1 0.897257
32 2 0.897254
32 3 0.897259
32 4 0.897255
