x1 y1 x2 y2 pair
1 1 2 1 -1.711723e-01
1 1 1 2 1.054282e-01
2 1 3 1 -2.349429e-02
2 1 2 2 5.076294e-02
3 1 4 1 -1.574233e-02
3 1 3 2 2.111327e-02
4 1 5 1 -1.473521e-02
4 1 4 2 1.652413e-02
5 1 6 1 -7.609705e-03
5 1 5 2 1.175407e-02
6 1 7 1 -5.138815e-03
6 1 6 2 7.128240e-03
7 1 8 1 -1.994627e-03
7 1 7 2 3.680424e-03
8 1 9 1 -1.528268e-03
8 1 8 2 2.019979e-03
9 1 10 1 -4.937885e-03
9 1 9 2 3.494551e-03
10 1 11 1 -8.681157e-03
10 1 10 2 7.251472e-03
11 1 12 1 -1.354576e-02
11 1 11 2 1.182146e-02
12 1 13 1 -1.672761e-02
12 1 12 2 1.578796e-02
13 1 14 1 -2.011173e-02
13 1 13 2 1.909804e-02
14 1 15 1 -2.218759e-02
14 1 14 2 2.189528e-02
15 1 16 1 -2.326339e-02
15 1 15 2 2.404976e-02
16 1 17 1 -2.399831e-02
16 1 16 2 2.550012e-02
17 1 18 1 -2.284122e-02
17 1 17 2 2.539890e-02
18 1 19 1 -2.133108e-02
18 1 18 2 2.369291e-02
19 1 20 1 -1.893244e-02
19 1 19 2 2.114205e-02
20 1 21 1 -1.555868e-02
20 1 20 2 1.800113e-02
21 1 22 1 -1.250216e-02
21 1 21 2 1.448605e-02
22 1 23 1 -8.123059e-03
22 1 22 2 1.065279e-02
23 1 24 1 -5.602734e-03
23 1 23 2 7.000998e-03
24 1 25 1 -3.817749e-03
24 1 24 2 4.870051e-03
25 1 26 1 -6.156359e-03
25 1 25 2 5.326895e-03
26 1 27 1 -1.076106e-02
26 1 26 2 8.792143e-03
27 1 28 1 -1.310266e-02
27 1 27 2 1.315163e-02
28 1 29 1 -1.915057e-02
28 1 28 2 1.718733e-02
29 1 30 1 -1.811148e-02
29 1 29 2 2.033942e-02
30 1 31 1 -2.400583e-02
30 1 30 2 2.264160e-02
31 1 32 1 -1.704662e-01
31 1 31 2 5.068953e-02
32 1 32 2 1.053997e-01
1 2 2 2 -1.711728e-01
1 2 1 3 1.054430e-01
2 2 3 2 -2.349797e-02
2 2 2 3 5.077274e-02
3 2 4 2 -1.574669e-02
3 2 3 3 2.114551e-02
4 2 5 2 -1.477196e-02
4 2 4 3 1.655103e-02
5 2 6 2 -7.681695e-03
5 2 5 3 1.181807e-02
6 2 7 2 -5.238271e-03
6 2 6 3 7.237149e-03
7 2 8 2 -2.088567e-03
7 2 7 3 3.789400e-03
8 2 9 2 -1.603520e-03
8 2 8 3 2.105578e-03
9 2 10 2 -5.000588e-03
9 2 9 3 3.563687e-03
10 2 11 2 -8.699569e-03
10 2 10 3 7.300079e-03
11 2 12 2 -1.351080e-02
11 2 11 3 1.179739e-02
12 2 13 2 -1.664896e-02
12 2 12 3 1.570376e-02
13 2 14 2 -2.002362e-02
13 2 13 3 1.898651e-02
14 2 15 2 -2.217279e-02
14 2 14 3 2.183172e-02
15 2 16 2 -2.333479e-02
15 2 15 3 2.404523e-02
16 2 17 2 -2.412974e-02
16 2 16 3 2.556881e-02
17 2 18 2 -2.302426e-02
17 2 17 3 2.552126e-02
18 2 19 2 -2.144370e-02
18 2 18 3 2.375332e-02
19 2 20 2 -1.894005e-02
19 2 19 3 2.117455e-02
20 2 21 2 -1.548511e-02
20 2 20 3 1.799215e-02
21 2 22 2 -1.237978e-02
21 2 21 3 1.441330e-02
22 2 23 2 -8.005916e-03
22 2 22 3 1.049621e-02
23 2 24 2 -5.560922e-03
23 2 23 3 6.852709e-03
24 2 25 2 -3.872473e-03
24 2 24 3 4.811102e-03
25 2 26 2 -6.264378e-03
25 2 25 3 5.337202e-03
26 2 27 2 -1.090210e-02
26 2 26 3 8.889021e-03
27 2 28 2 -1.322339e-02
27 2 27 3 1.324690e-02
28 2 29 2 -1.922772e-02
28 2 28 3 1.723293e-02
29 2 30 2 -1.815787e-02
29 2 29 3 2.033190e-02
30 2 31 2 -2.401469e-02
30 2 30 3 2.254661e-02
31 2 32 2 -1.704592e-01
31 2 31 3 5.065558e-02
