x y charge
1 1 0.781000
1 2 0.833000
1 3 0.889000
1 4 0.924000
1 5 0.936000
1 6 0.922000
1 7 0.886000
1 8 0.830000
1 9 0.781000
1 10 0.833000
1 11 0.889000
1 12 0.924000
1 13 0.936000
1 14 0.922000
1 15 0.886000
1 16 0.830000
2 1 0.830000
2 2 0.781000
2 3 0.833000
2 4 0.889000
2 5 0.924000
2 6 0.936000
2 7 0.922000
2 8 0.886000
2 9 0.830000
2 10 0.781000
2 11 0.833000
2 12 0.889000
2 13 0.924000
2 14 0.936000
2 15 0.922000
2 16 0.886000
3 1 0.886000
3 2 0.830000
3 3 0.781000
3 4 0.833000
3 5 0.889000
3 6 0.924000
3 7 0.936000
3 8 0.922000
3 9 0.886000
3 10 0.830000
3 11 0.781000
3 12 0.833000
3 13 0.889000
3 14 0.924000
3 15 0.936000
3 16 0.922000
4 1 0.922000
4 2 0.886000
4 3 0.830000
4 4 0.781000
4 5 0.833000
4 6 0.889000
4 7 0.924000
4 8 0.936000
4 9 0.922000
4 10 0.886000
4 11 0.830000
4 12 0.781000
4 13 0.833000
4 14 0.889000
4 15 0.924000
4 16 0.936000
5 1 0.936000
5 2 0.922000
5 3 0.886000
5 4 0.830000
5 5 0.781000
5 6 0.833000
5 7 0.889000
5 8 0.924000
5 9 0.936000
5 10 0.922000
5 11 0.886000
5 12 0.830000
5 13 0.781000
5 14 0.833000
5 15 0.889000
5 16 0.924000
6 1 0.924000
6 2 0.936000
6 3 0.922000
6 4 0.886000
6 5 0.830000
6 6 0.781000
6 7 0.833000
6 8 0.889000
6 9 0.924000
6 10 0.936000
6 11 0.922000
6 12 0.886000
6 13 0.830000
6 14 0.781000
6 15 0.833000
6 16 0.889000
7 1 0.889000
7 2 0.924000
7 3 0.936000
7 4 0.922000
7 5 0.886000
7 6 0.830000
7 7 0.781000
7 8 0.833000
7 9 0.889000
7 10 0.924000
7 11 0.936000
7 12 0.922000
7 13 0.886000
7 14 0.830000
7 15 0.781000
7 16 0.833000
8 1 0.833000
8 2 0.889000
8 3 0.924000
8 4 0.936000
8 5 0.922000
8 6 0.886000
8 7 0.830000
8 8 0.781000
8 9 0.833000
8 10 0.889000
8 11 0.924000
8 12 0.936000
8 13 0.922000
8 14 0.886000
8 15 0.830000
8 16 0.781000
9 1 0.781000
9 2 0.833000
9 3 0.889000
9 4 0.924000
9 5 0.936000
9 6 0.922000
9 7 0.886000
9 8 0.830000
9 9 0.781000
9 10 0.833000
9 11 0.889000
9 12 0.924000
9 13 0.936000
9 14 0.922000
9 15 0.886000
9 16 0.830000
10 1 0.830000
10 2 0.781000
10 3 0.833000
10 4 0.889000
10 5 0.924000
10 6 0.936000
10 7 0.922000
10 8 0.886000
10 9 0.830000
10 10 0.781000
10 11 0.833000
10 12 0.889000
10 13 0.924000
10 14 0.936000
10 15 0.922000
10 16 0.886000
11 1 0.886000
11 2 0.830000
11 3 0.781000
11 4 0.833000
11 5 0.889000
11 6 0.924000
11 7 0.936000
11 8 0.922000
11 9 0.886000
11 10 0.830000
11 11 0.781000
11 12 0.833000
11 13 0.889000
11 14 0.924000
11 15 0.936000
11 16 0.922000
12 1 0.922000
12 2 0.886000
12 3 0.830000
12 4 0.781000
12 5 0.833000
12 6 0.889000
12 7 0.924000
12 8 0.936000
12 9 0.922000
12 10 0.886000
12 11 0.830000
12 12 0.781000
12 13 0.833000
12 14 0.889000
12 15 0.924000
12 16 0.936000
13 1 0.936000
13 2 0.922000
13 3 0.886000
13 4 0.830000
13 5 0.781000
13 6 0.833000
13 7 0.889000
13 8 0.924000
13 9 0.936000
13 10 0.922000
13 11 0.886000
13 12 0.830000
13 13 0.781000
13 14 0.833000
13 15 0.889000
13 16 0.924000
14 1 0.924000
14 2 0.936000
14 3 0.922000
14 4 0.886000
14 5 0.830000
14 6 0.781000
14 7 0.833000
14 8 0.889000
14 9 0.924000
14 10 0.936000
14 11 0.922000
14 12 0.886000
14 13 0.830000
14 14 0.781000
14 15 0.833000
14 16 0.889000
15 1 0.889000
15 2 0.924000
15 3 0.936000
15 4 0.922000
15 5 0.886000
15 6 0.830000
15 7 0.781000
15 8 0.833000
15 9 0.889000
15 10 0.924000
15 11 0.936000
15 12 0.922000
15 13 0.886000
15 14 0.830000
15 15 0.781000
15 16 0.833000
16 1 0.833000
16 2 0.889000
16 3 0.924000
16 4 0.936000
16 5 0.922000
16 6 0.886000
16 7 0.830000
16 8 0.781000
16 9 0.833000
16 10 0.889000
16 11 0.924000
16 12 0.936000
16 13 0.922000
16 14 0.886000
16 15 0.830000
16 16 0.781000
