x y spin
1 1 0.006000
1 2 0.156000
1 3 -0.249000
1 4 0.294000
1 5 -0.311000
1 6 0.300000
1 7 -0.257000
1 8 0.169000
1 9 -0.006000
1 10 -0.156000
1 11 0.249000
1 12 -0.294000
1 13 0.311000
1 14 -0.300000
1 15 0.257000
1 16 -0.169000
2 1 -0.169000
2 2 0.006000
2 3 0.156000
2 4 -0.249000
2 5 0.294000
2 6 -0.311000
2 7 0.300000
2 8 -0.257000
2 9 0.169000
2 10 -0.006000
2 11 -0.156000
2 12 0.249000
2 13 -0.294000
2 14 0.311000
2 15 -0.300000
2 16 0.257000
3 1 0.257000
3 2 -0.169000
3 3 0.006000
3 4 0.156000
3 5 -0.249000
3 6 0.294000
3 7 -0.311000
3 8 0.300000
3 9 -0.257000
3 10 0.169000
3 11 -0.006000
3 12 -0.156000
3 13 0.249000
3 14 -0.294000
3 15 0.311000
3 16 -0.300000
4 1 -0.300000
4 2 0.257000
4 3 -0.169000
4 4 0.006000
4 5 0.156000
4 6 -0.249000
4 7 0.294000
4 8 -0.311000
4 9 0.300000
4 10 -0.257000
4 11 0.169000
4 12 -0.006000
4 13 -0.156000
4 14 0.249000
4 15 -0.294000
4 16 0.311000
5 1 0.311000
5 2 -0.300000
5 3 0.257000
5 4 -0.169000
5 5 0.006000
5 6 0.156000
5 7 -0.249000
5 8 0.294000
5 9 -0.311000
5 10 0.300000
5 11 -0.257000
5 12 0.169000
5 13 -0.006000
5 14 -0.156000
5 15 0.249000
5 16 -0.294000
6 1 -0.294000
6 2 0.311000
6 3 -0.300000
6 4 0.257000
6 5 -0.169000
6 6 0.006000
6 7 0.156000
6 8 -0.249000
6 9 0.294000
6 10 -0.311000
6 11 0.300000
6 12 -0.257000
6 13 0.169000
6 14 -0.006000
6 15 -0.156000
6 16 0.249000
7 1 0.249000
7 2 -0.294000
7 3 0.311000
7 4 -0.300000
7 5 0.257000
7 6 -0.169000
7 7 0.006000
7 8 0.156000
7 9 -0.249000
7 10 0.294000
7 11 -0.311000
7 12 0.300000
7 13 -0.257000
7 14 0.169000
7 15 -0.006000
7 16 -0.156000
8 1 -0.156000
8 2 0.249000
8 3 -0.294000
8 4 0.311000
8 5 -0.300000
8 6 0.257000
8 7 -0.169000
8 8 0.006000
8 9 0.156000
8 10 -0.249000
8 11 0.294000
8 12 -0.311000
8 13 0.300000
8 14 -0.257000
8 15 0.169000
8 16 -0.006000
9 1 -0.006000
9 2 -0.156000
9 3 0.249000
9 4 -0.294000
9 5 0.311000
9 6 -0.300000
9 7 0.257000
9 8 -0.169000
9 9 0.006000
9 10 0.156000
9 11 -0.249000
9 12 0.294000
9 13 -0.311000
9 14 0.300000
9 15 -0.257000
9 16 0.169000
10 1 0.169000
10 2 -0.006000
10 3 -0.156000
10 4 0.249000
10 5 -0.294000
10 6 0.311000
10 7 -0.300000
10 8 0.257000
10 9 -0.169000
10 10 0.006000
10 11 0.156000
10 12 -0.249000
10 13 0.294000
10 14 -0.311000
10 15 0.300000
10 16 -0.257000
11 1 -0.257000
11 2 0.169000
11 3 -0.006000
11 4 -0.156000
11 5 0.249000
11 6 -0.294000
11 7 0.311000
11 8 -0.300000
11 9 0.257000
11 10 -0.169000
11 11 0.006000
11 12 0.156000
11 13 -0.249000
11 14 0.294000
11 15 -0.311000
11 16 0.300000
12 1 0.300000
12 2 -0.257000
12 3 0.169000
12 4 -0.006000
12 5 -0.156000
12 6 0.249000
12 7 -0.294000
12 8 0.311000
12 9 -0.300000
12 10 0.257000
12 11 -0.169000
12 12 0.006000
12 13 0.156000
12 14 -0.249000
12 15 0.294000
12 16 -0.311000
13 1 -0.311000
13 2 0.300000
13 3 -0.257000
13 4 0.169000
13 5 -0.006000
13 6 -0.156000
13 7 0.249000
13 8 -0.294000
13 9 0.311000
13 10 -0.300000
13 11 0.257000
13 12 -0.169000
13 13 0.006000
13 14 0.156000
13 15 -0.249000
13 16 0.294000
14 1 0.294000
14 2 -0.311000
14 3 0.300000
14 4 -0.257000
14 5 0.169000
14 6 -0.006000
14 7 -0.156000
14 8 0.249000
14 9 -0.294000
14 10 0.311000
14 11 -0.300000
14 12 0.257000
14 13 -0.169000
14 14 0.006000
14 15 0.156000
14 16 -0.249000
15 1 -0.249000
15 2 0.294000
15 3 -0.311000
15 4 0.300000
15 5 -0.257000
15 6 0.169000
15 7 -0.006000
15 8 -0.156000
15 9 0.249000
15 10 -0.294000
15 11 0.311000
15 12 -0.300000
15 13 0.257000
15 14 -0.169000
15 15 0.006000
15 16 0.156000
16 1 0.156000
16 2 -0.249000
16 3 0.294000
16 4 -0.311000
16 5 0.300000
16 6 -0.257000
16 7 0.169000
16 8 -0.006000
16 9 -0.156000
16 10 0.249000
16 11 -0.294000
16 12 0.311000
16 13 -0.300000
16 14 0.257000
16 15 -0.169000
16 16 0.006000
