x1 y1 x2 y2 pair
1 1 2 1 -5.860000e-03
1 2 2 2 -8.480000e-03
2 1 3 1 -1.610000e-02
2 2 3 2 -1.140000e-02
3 1 4 1 -1.680000e-02
3 2 4 2 -2.100000e-02
4 1 5 1 -1.720000e-02
4 2 5 2 -2.120000e-02
5 1 6 1 -1.630000e-02
5 2 6 2 -1.150000e-02
6 1 7 1 -5.970000e-03
6 2 7 2 -8.790000e-03
7 1 8 1 -4.710000e-03
7 2 8 2 -3.750000e-03
1 1 1 2 4.940000e-03
1 2 1 3 6.630000e-03
2 1 2 2 1.290000e-02
2 2 2 3 9.620000e-03
3 1 3 2 1.580000e-02
3 2 3 3 1.910000e-02
4 1 4 2 2.100000e-02
4 2 4 3 2.130000e-02
5 1 5 2 1.890000e-02
5 2 5 3 1.640000e-02
6 1 6 2 9.640000e-03
6 2 6 3 1.320000e-02
7 1 7 2 6.700000e-03
7 2 7 3 5.010000e-03
